mRNA,siRNA,Efficacy
mrna - XM_214061,mrna - XM_214061_92,0.777
mrna - XM_214061,mrna - XM_214061_93,0.777
mrna - XM_214061,mrna - XM_214061_94,0.777
mrna - XM_214061,mrna - XM_214061_95,0.776
mrna - XM_214061,mrna - XM_214061_96,0.775
mrna - XM_214061,mrna - XM_214061_97,0.775
mrna - XM_214061,mrna - XM_214061_98,0.775
mrna - XM_214061,mrna - XM_214061_99,0.774
mrna - XM_214061,mrna - XM_214061_100,0.774
mrna - XM_214061,mrna - XM_214061_101,0.774
mrna - XM_214061,mrna - XM_214061_102,0.774
mrna - XM_214061,mrna - XM_214061_103,0.772
mrna - XM_214061,mrna - XM_214061_104,0.772
mrna - XM_214061,mrna - XM_214061_105,0.771
mrna - XM_214061,mrna - XM_214061_106,0.771
mrna - XM_214061,mrna - XM_214061_107,0.771
mrna - XM_214061,mrna - XM_214061_108,0.771
mrna - XM_214061,mrna - XM_214061_109,0.77
mrna - XM_214061,mrna - XM_214061_110,0.77
mrna - XM_214061,mrna - XM_214061_111,0.769
mrna - XM_214061,mrna - XM_214061_112,0.769
mrna - XM_214061,mrna - XM_214061_113,0.769
mrna - XM_214061,mrna - XM_214061_114,0.577
mrna - XM_214061,mrna - XM_214061_115,0.577
mrna - XM_214061,mrna - XM_214061_116,0.577
mrna - XM_214061,mrna - XM_214061_117,0.576
mrna - XM_214061,mrna - XM_214061_118,0.576
mrna - XM_214061,mrna - XM_214061_119,0.575
mrna - XM_214061,mrna - XM_214061_120,0.575
mrna - XM_214061,mrna - XM_214061_121,0.574
mrna - XM_214061,mrna - XM_214061_122,0.574
mrna - XM_214061,mrna - XM_214061_123,0.574
mrna - XM_214061,mrna - XM_214061_124,0.574
mrna - XM_214061,mrna - XM_214061_125,0.573
mrna - XM_214061,mrna - XM_214061_126,0.498
mrna - XM_214061,mrna - XM_214061_127,0.497
mrna - XM_214061,mrna - XM_214061_128,0.497
mrna - XM_214061,mrna - XM_214061_129,0.495
mrna - XM_214061,mrna - XM_214061_130,0.495
mrna - XM_214061,mrna - XM_214061_131,0.494
mrna - XM_214061,mrna - XM_214061_132,0.493
mrna - XM_214061,mrna - XM_214061_133,0.493
mrna - XM_214061,mrna - XM_214061_134,0.311
mrna - XM_214061,mrna - XM_214061_135,0.309
mrna - XM_214061,mrna - XM_214061_136,0.298
mrna - XM_214061,mrna - XM_214061_137,0.291
mrna - XM_214061,mrna - XM_214061_138,0.284
mrna - XM_214061,mrna - XM_214061_139,0.282
mrna - XM_214061,mrna - XM_214061_140,0.28
mrna - XM_214061,mrna - XM_214061_141,0.27
mrna - XM_214061,mrna - XM_214061_142,0.259
mrna - XM_214061,mrna - XM_214061_143,0.247
mrna - XM_214061,mrna - XM_214061_144,0.24
NM_003345,NM_003345_1,1.07
NM_003345,NM_003345_2,0.955
NM_003345,NM_003345_3,0.954
NM_003345,NM_003345_4,0.943
NM_003345,NM_003345_5,0.935
NM_003345,NM_003345_6,0.931
NM_003345,NM_003345_7,0.929
NM_003345,NM_003345_8,0.928
NM_003345,NM_003345_9,0.924
NM_003345,NM_003345_10,0.921
NM_003345,NM_003345_11,0.92
NM_003345,NM_003345_12,0.92
NM_003345,NM_003345_13,0.919
NM_003345,NM_003345_14,0.916
NM_003345,NM_003345_15,0.911
NM_003345,NM_003345_16,0.903
NM_003345,NM_003345_17,0.901
NM_003345,NM_003345_18,0.9
NM_003345,NM_003345_19,0.899
NM_003345,NM_003345_20,0.899
NM_003345,NM_003345_21,0.898
NM_003345,NM_003345_22,0.895
NM_003345,NM_003345_23,0.894
NM_003345,NM_003345_24,0.891
NM_003345,NM_003345_25,0.889
NM_003345,NM_003345_26,0.888
NM_003345,NM_003345_27,0.883
NM_003345,NM_003345_28,0.882
NM_003345,NM_003345_29,0.881
NM_003345,NM_003345_30,0.88
NM_003345,NM_003345_31,0.88
NM_003345,NM_003345_32,0.878
NM_003345,NM_003345_33,0.876
NM_003345,NM_003345_34,0.875
NM_003345,NM_003345_35,0.875
NM_003345,NM_003345_36,0.874
NM_003345,NM_003345_37,0.874
NM_003345,NM_003345_38,0.817
NM_003345,NM_003345_39,0.812
NM_003345,NM_003345_40,0.811
NM_003345,NM_003345_41,0.808
NM_003345,NM_003345_42,0.808
NM_003345,NM_003345_43,0.806
NM_003345,NM_003345_44,0.804
NM_003345,NM_003345_45,0.804
NM_003345,NM_003345_46,0.802
NM_003345,NM_003345_47,0.802
NM_003345,NM_003345_48,0.799
NM_003345,NM_003345_49,0.798
NM_003345,NM_003345_50,0.795
NM_003345,NM_003345_51,0.793
NM_003345,NM_003345_52,0.793
NM_003345,NM_003345_53,0.792
NM_003345,NM_003345_54,0.792
NM_003345,NM_003345_55,0.792
NM_003345,NM_003345_56,0.79
NM_003345,NM_003345_57,0.789
NM_003345,NM_003345_58,0.784
NM_003345,NM_003345_59,0.783
NM_003345,NM_003345_60,0.782
NM_003345,NM_003345_61,0.781
NM_003345,NM_003345_62,0.78
NM_003345,NM_003345_63,0.779
NM_003345,NM_003345_64,0.766
AH001498,AH0014981,1.002
AH001498,AH0014982,0.997
AH001498,AH0014983,0.992
AH001498,AH0014984,0.992
AH001498,AH0014985,0.991
AH001498,AH0014986,0.991
AH001498,AH0014987,0.988
AH001498,AH0014988,0.987
AH001498,AH0014989,0.987
AH001498,AH00149810,0.986
AH001498,AH00149811,0.982
AH001498,AH00149812,0.432
AH001498,AH00149813,0.432
AH001498,AH00149814,0.431
AH001498,AH00149815,0.73
AH001498,AH00149816,0.73
AH001498,AH00149817,0.729
AH001498,AH00149818,0.729
AH001498,AH00149819,0.735
AH001498,AH00149820,0.735
AH001498,AH00149821,0.734
AH001498,AH00149822,0.747
AH001498,AH00149823,0.747
AH001498,AH00149824,0.746
AH001498,AH00149825,0.746
AH001498,AH00149826,0.752
AH001498,AH00149827,0.751
AH001498,AH00149828,0.76
AH001498,AH00149829,0.759
AH001498,AH00149830,0.778
AH001498,AH00149831,0.777
AH001498,AH00149832,0.783
AH001498,AH00149833,0.782
AH001498,AH00149834,0.786
AH001498,AH00149835,0.785
AH001498,AH00149836,0.8
AH001498,AH00149837,0.799
AH001498,AH00149838,0.83
AH001498,AH00149839,0.829
AH001498,AH00149840,0.834
